"PERMIT_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"BP2019-0046","2019-04-05 00:00:00","EMAILED APPLICANT","ANGELICA YEPEZ","(4/5/2019 2:35:21 PM AY) Action Created(4/5/2019 2:35 PM AY) Emailed the owner the permit status.","","AY:1904050235203251","2019-04-05 00:00:00","0","000000007623B957","1982052425","","0"
"BP2017-1016","2019-04-05 00:00:00","CANCELLED PERMIT","ANGELICA YEPEZ","(4/5/2019 2:45:04 PM AY) Action Created(4/5/2019 2:45 PM AY) Spoke to applicant, Allan and informed him of the permit status & fees due.  He said he would let his company know so that they can assign a contractor to pick up.","","AY:1904050245033322","2019-04-05 00:00:00","0","000000007623C5D5","1982055734","","0"
"BP2015-0230","2019-04-08 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(4/8/2019 11:27:21 AM AY) Action Created(4/8/2019 11:27 AM AY) I tried to get a hold of the applicant (via email / call) but email bounced back, unable to leave a message as he is out of the area. I called and emailed Crown Castle applicants (John Ritter and Tim Page) but no response.  Was successful at contacting Moises Aceves with Crown Castle and he will be looking into this permit.  See attached.","","AY:1904081127214124","2019-04-08 00:00:00","0","000000007630E4C9","1982915753","","0"
"BP2016-0536","2019-04-23 00:00:00","REINSTATE PERMIT","ANGELICA YEPEZ","(4/23/2019 2:02:49 PM AY) Action Created(4/23/2019 2:02 PM AY) Re-instated permit - see attached.","","AY:1904230202499943","2019-04-23 00:00:00","0","0000000076F30D0A","1995622075","","0"
"BP2019-0676","2019-07-01 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(7/1/2019 1:54:04 PM AY) Action Created(7/1/2019 1:54 PM AY) Lori Stonebreaker was in to inquire about permit process / fees for converting an attic into bedrooms. Scott and I provided her building permit / flood zone information.","","AY:1907010154045114","2019-07-01 00:00:00","0","000000007A97C7B1","2056767271","","0"
"BP2016-0526","2019-07-31 00:00:00","REINSTATE PERMIT","ANGELICA YEPEZ","(7/31/2019 1:21:19 PM AY) Action Created(7/31/2019 1:21 PM AY) Re-instated permit; see attached.","","AY:1907310121198009","","0","000000007C1FE333","2082464561","","0"
"BP2019-1054","2019-10-15 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/15/2019 3:00:58 PM AY) Action Created(10/15/2019 3:00 PM AY) Provided estimate that both Tom and I, came up with based on the information provided. See attached.","","AY:1910150300584231","2019-10-15 00:00:00","0","0000000080467596","2152067844","","0"
"BP2019-1055","2019-10-15 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/15/2019 3:04:50 PM AY) Action Created(10/15/2019 3:04 PM AY) Provided estimate that both Tom and I, came up with based on the information provided. See attached.","","AY:1910150304504237","2019-10-15 00:00:00","0","000000008046A10D","2152101332","","0"
"BP2019-1087","2019-10-23 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/23/2019 11:08:34 AM AY) Action Created(10/23/2019 11:08 AM AY) Provided an estimate for the property owner: +/- $1000.","","AY:1910231108340684","2019-10-23 00:00:00","0","0000000080AE1D96","2158894346","","0"
"BP2018-0516","2019-10-28 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/28/2019 4:33:33 PM AY) Action Created(10/28/2019 4:33 PM AY) Owner Harjeet was in to pick up permit but when asked to sign the owner builder form, he stated he would rather have the contractor pick up / sign for the permit. He paid FSA fees.","","AY:1910280433334260","2019-10-28 00:00:00","0","0000000080F87FAC","2163769100","","0"
"BP2016-0512","2020-01-08 00:00:00","EXPIRATION NOTICE","ANGELICA YEPEZ","(1/8/2020 3:51:24 PM AY) Action Created(1/8/2020 3:51 PM AY) Owner emailed me her re-instate form, as online payment had been made on 9/13/19 - see attached.","","AY:2001080351242503","2020-01-08 00:00:00","0","0000000083DDE78A","2212357354","","0"
"BP2018-0974","2020-01-13 00:00:00","NOTICE OF FEES DUE","ANGELICA YEPEZ","(1/13/2020 1:25:48 PM AY) Action Created(1/13/2020 1:25 PM AY) Prior to issuance of this permit, check the contractors state license, as it currently has been suspended due to workers comp.  Okay to issue as soon as the CSLB status is current. See att'd Suspended CSLB.","","AY:2001130125486900","2020-01-13 00:00:00","0","00000000840C259A","2215388374","","0"
"BP2019-0286","2020-01-30 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(1/30/2020 1:56:00 PM AY) Action Created(1/30/2020 1:56 PM AY) Received approval plans from BV, along with approval letter; however, the approval letter had the wrong date of the approved plans listed on the letter: 7/19/19 and it was corrected to 10/17/19. See attached.","","AY:2001300156005447","2020-01-30 00:00:00","0","0000000084D28A49","2228389464","","0"
"BP2020-0246","2020-04-15 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(4/15/2020 1:47:57 PM AY) Action Created(4/15/2020 1:47 PM AY) Set project to void, missing structural calcs, wind speed, seismic...emailed Scott / Tom.  Also notified contractor.  See attached email.","","AY:2004150147585555","2020-04-15 00:00:00","0","0000000087306861","2268095934","","0"
"BP2020-0302","2020-04-29 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(4/29/2020 2:06:03 PM AY) Action Created(4/29/2020 2:06 PM AY) Spoke to Tammy and provided her with an estimate of fees for a 300 sq. ft. addition to a manuf. home. She will follow up with the State (HCD) and Fire/School.","","AY:2004290206032537","2020-04-29 00:00:00","0","000000008791CAC6","2274478163","","0"
"BP2020-0305","2020-05-08 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(5/8/2020 2:37:31 PM AY) Action Created(5/8/2020 2:37 PM AY) Left a voicemail message for applicant informing him that he has not made payment for the review fees; therefore, the permit is not set to Under Review.","","AY:2005080237316848","2020-05-08 00:00:00","0","0000000087C75DFD","2277988808","","0"
"BP2018-0480","2020-05-13 00:00:00","EXTENSION REQUEST","ANGELICA YEPEZ","(5/13/2020 4:18:50 PM AY) Action Created(5/13/2020 4:18 PM AY) Extended permit for 6 months (due to Covid19) - okay per Tom D.","","AY:2005130418509767","2020-05-13 00:00:00","0","0000000087EE0226","2280522258","","0"
"BP2020-0246","2020-05-27 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(5/27/2020 10:44:13 AM AY) Action Created(5/27/2020 10:44 AM AY) Emailed the applicant the Fire District form. and informed him of the permit status and fees due.","","AY:2005271044120174","","0","00000000886E78F6","2288941298","","0"
"BP2020-0305","2020-06-08 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(6/8/2020 10:54:00 AM AY) Action Created(6/8/2020 10:54 AM AY) Emailed Ag Exempt permit - need signatures.","","AY:2006081053599690","2020-06-08 00:00:00","0","0000000088ED4BA4","2297252411","","0"
"BP2020-0453","2020-06-09 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/9/2020 3:43:58 PM AY) Action Created(6/9/2020 3:43 PM AY) Emailed applicant regarding payment of submittal fees; she will be in the office first thing in the morning to pay. Missing EH, C & D and completion of C & D form (missing signatures).","","AY:2006090343581502","","0","000000008900A17E","2298510322","","0"
"BP2020-0567","2020-07-20 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(7/20/2020 11:53:30 AM AY) Action Created(7/20/2020 11:53 AM AY) Linda Whent came in asking about doing a 4000 sq. ft. bldg. for public stalls (for boarding 4H student horses) and public restroom.  Scott / I provided her with requirements, forms & estimate.","","AY:2007201153308928","2020-07-20 00:00:00","0","000000008AA697EA","2326173546","","0"
"BP2020-0545","2020-07-23 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(7/23/2020 4:19:42 PM AY) Action Created(7/23/2020 4:19 PM AY) Pending signatures on permit for validation of permit.","","AY:2007230419422297","2020-07-23 00:00:00","0","000000008AD7AFD5","2329379072","","0"
"BP2020-0599","2020-07-31 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(7/31/2020 4:39:30 PM AY) Action Created(7/31/2020 4:39 PM AY) Spoke to Jenny informed her that I emailed her the missing forms needed for her review, need to calculate fees since she indicated $0 is her CV, need to collect fees...school / fire forms needed.","","AY:2007310439296856","2020-07-31 00:00:00","0","000000008B2A5130","2334806314","","0"
"BP2016-0526","2020-07-31 00:00:00","EXTENSION REQUEST","ANGELICA YEPEZ","(7/31/2020 8:55:08 AM AY) Action Created(7/31/2020 8:55 AM AY) Permit was going to expire today but due to COVID-19, extended permit for 30 days.","","AY:2007310855086397","2020-07-31 00:00:00","0","000000008B2175F7","2334225903","","0"
"BP2020-0719","2020-09-03 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/3/2020 3:08:28 PM AY) Action Created(9/3/2020 3:08 PM AY) Called Dave Shaffer to inquire about the submittal that Lance had submitted (re: flood); and he indicated he has a new appraisal that needs to be part of the submittal.  He said to hold of on any reviews and that he would be in the office next week.","","AY:2009030308285215","2020-09-03 00:00:00","0","000000008C9425B6","2358519194","","0"
"BP2020-0675","2020-09-04 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/4/2020 9:28:19 AM AY) Action Created(9/4/2020 9:28 AM AY) Sam came in and wanted the new patio cover to be part of a revision to the bldg.  We told him it required a separate permit and he he will be back in to apply.","","AY:2009040928195566","2020-09-04 00:00:00","0","000000008C995445","2358858805","","0"
"BP2020-0246","2020-09-04 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/4/2020 9:53:17 AM AY) Action Created(9/4/2020 9:53 AM AY) Spoke to Tom Davis this morning regarding not obtaining the Fire District form signed, but obtaining Dunnigan Fire Permit Approval (see att'd) and he said this will suffice. So, I called applicant and informed him we can issue permit.","","AY:2009040953175604","2020-09-04 00:00:00","0","000000008C996454","2358862628","","0"
"BP2020-0257","2020-09-16 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(9/16/2020 12:25:20 PM AY) Action Created(9/16/2020 12:25 PM AY) Emailed the contractor and owner informing them the permit status / fees required for issuance.  Informed that they may also need to contact the City for water / sewer connection.  Called the city of Davis a few months ago and no reply.(9/16/2020 12:25 PM AY)Will scan the plans in the case that they would like to obtain the permit electronically via email.","","AY:2009161225192970","2020-09-16 00:00:00","0","000000008D0DEA8B","2366499419","","0"
"BP2020-0662","2020-09-17 00:00:00","CANCELLED PERMIT","ANGELICA YEPEZ","(9/17/2020 9:40:02 AM AY) Action Created(9/17/2020 9:40 AM AY) Called Matt Gwerder informing him that the permit is ready upon receiving Fire District; said he will bring it in at permit issuance.","","AY:2009170940023624","2020-09-17 00:00:00","0","000000008D1EF836","2367617040","","0"
"BP2020-0698","2020-09-21 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(9/21/2020 4:01:31 PM AY) Action Created(9/21/2020 4:01 PM AY) Emailed YSAQMD / CTF regarding permit status pending their approval.(9/21/2020 4:05 PM AY)Called Ed Walked and informed him of the status of the permits (pending YSAQMD, CTF & fees): BP2020-0694 - 0696 & 0698.","","AY:2009210401316084","","0","000000008D50BB64","2370861281","","0"
"BP2020-0781","2020-09-23 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/23/2020 3:41:36 PM AY) Action Created(9/23/2020 3:41 PM AY) Mica called and inquired about permit process for an As-Built accessory structure (1,800 sq. ft)  with a loft (600 sq. ft.).  I provided her with an estimate and checklist ...forms via email.","","AY:2009230341368700","2020-09-23 00:00:00","0","000000008D75BD56","2373302815","","0"
"BP2020-0037","2020-09-29 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/29/2020 11:03:58 AM AY) Action Created(9/29/2020 11:03 AM AY) Cesar Vasquez was in and spoke to Tom and I, regarding obtaining permission to move the manufactured home on the property, as he is needing to remove it from the property that sold it to him.  We informed him that EH and Chris (plan checker)  & Dunningan Fire hasn't approved it yet, but that we will allow him to move it as long as he is aware that he cannot install it, nor do any of the utilities until it is permitted (issued).","","AY:2009291103581524","2020-09-29 00:00:00","0","000000008DB3EBE0","2377378662","","0"
"BP2019-0247","2020-10-08 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(10/8/2020 12:21:54 PM AY) Action Created(10/8/2020 12:21 PM AY) These plans were omitted from plans BP2019-0236 - 0245.  To avoid confusion because they were marked up with approved stamps; I've placed them on my desk.  Per Scott, they will need to resubmit new plans to include only scope of work for headhouse (BP2019-0247).","","AY:2010081221543511","","0","000000008E1408B1","2383677615","","0"
"BP2020-0856","2021-01-15 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(1/15/2021 12:26:19 PM AY) Action Created(1/15/2021 12:26 PM AY) See attached email correspondence with owner.  They will be submitting a roof mount instead of doing ground mount.  I've informed them to submit a cancellation request and re-apply.","","AY:2101151226183692","2021-01-15 00:00:00","0","0000000092173DCE","2450996598","","0"
"BP2021-0062","2021-02-24 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(2/24/2021 2:24:31 PM AY) Action Created(2/24/2021 2:24 PM AY) Left a message on voicemail for owner / applicant informing him that the permit is ready for issuance upon obtaining the Fire District form and payment of permit fees.","","AY:2102240224313061","","0","0000000093B20168","2477916518","","0"
"BP2021-0061","2021-02-24 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(2/24/2021 2:24:54 PM AY) Action Created(2/24/2021 2:24 PM AY) Left a message on voicemail for owner / applicant informing him that the permit is ready for issuance upon obtaining the Fire District form and payment of permit fees.","","AY:2102240224543062","2021-02-24 00:00:00","0","0000000093B20212","2477916561","","0"
"BP2021-0022","2021-03-02 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(3/2/2021 11:10:16 AM AY) Action Created(3/2/2021 11:10 AM AY) New address assigned: 36446 Riverview Dr. - Refer to map page T25b.","","AY:2103021110167240","2021-03-02 00:00:00","0","0000000093F0ABBE","2482013528","","0"
"BP2016-0526","2021-03-08 00:00:00","EXTENSION REQUEST","ANGELICA YEPEZ","(3/8/2021 10:02:41 AM AY) Action Created(3/8/2021 10:02 AM AY) Yoseline spoke to Tom regarding re-instate fees for this permit; per Tom okay to extend & charge $101.","","AY:2103081002412073","2021-03-08 00:00:00","0","0000000094467639","2487645668","","0"
"BP2021-0080","2021-03-22 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(3/22/2021 12:12:59 PM AY) Action Created(3/22/2021 12:12 PM AY) Marlyn was in attempting to submit; this time she brought in her flood elevation certificate but didn't provide her structural calcs.  Checked w/ SD and he indicated they are needed, as this project is not conventional construction.","","AY:2103221212598098","2021-03-22 00:00:00","0","0000000094FF5ACE","2499762874","","0"
"BP2021-0348","2021-04-29 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(4/29/2021 10:11:25 AM AY) Action Created(4/29/2021 10:11 AM AY) Payment has not been made, voided permit and informed applicant (Marshall) to inform me when payment has been made, so that I can set review dates.","","AY:2104291011250702","","0","000000009686D7BD","2525419451","","0"
"BP2021-0400","2021-06-10 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(6/10/2021 11:08:11 AM AY) Action Created(6/10/2021 11:08 AM AY) Informed Lance that we need the Fire District form in order to issue permit.","","AY:2106101108110435","","0","0000000098254738","2552579888","","0"
"BP2021-0473","2021-06-10 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(6/10/2021 11:21:58 AM AY) Action Created(6/10/2021 11:21 AM AY) Called / emailed Lance informed him of the permit status: ready to issue. Will be obtaining the contractor info to update permit for issuance.","","AY:2106101121570472","2021-06-10 00:00:00","0","0000000098254DCA","2552581526","","0"
"BP2021-0421","2021-06-14 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/14/2021 11:23:22 AM AY) Action Created(6/14/2021 11:23 AM AY) Emailed (5/20, 5/21, 6/7)  both the owner / applicant numerous times, asking for payment to be made in order to review project but no payment has been made.","","AY:2106141123222358","","0","0000000098529001","2555547646","","0"
"BP2021-0449","2021-06-16 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/16/2021 8:08:12 AM AY) Action Created(6/16/2021 8:08 AM AY) Informed applicant that the permit is ready to issue.  Contractor is currently TBD.","","AY:2106160808114099","","0","000000009880AF7B","2558570361","","0"
"FE2021-0333","2021-06-23 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(6/23/2021 10:22:59 AM AY) Action Created(6/23/2021 10:22 AM AY) ADU is 503 sq. ft. (under 750 sq. ft.): FSA = N/A","","AY:2106231022589452","","0","0000000098E9BABA","2565454520","","0"
"BP2021-0524","2021-06-28 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/28/2021 10:31:44 AM AY) Action Created(6/28/2021 10:31 AM AY) Spoke to applicant last week and he was going to follow up with the owners regarding payment.  I called applicant today and he indicated that he was under the impression that they were going to pay online but will follow up with owner's again.","","AY:2106281031442560","","0","00000000991F9258","2568983126","","0"
"BP2021-0539","2021-06-28 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/28/2021 11:24:12 AM AY) Action Created(6/28/2021 11:24 AM AY) Spoke to applicant and he will email the application / forms along with Structural Calcs.","","AY:2106281124122810","","0","00000000992103E8","2569077734","","0"
"BP2021-0430","2021-06-29 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(6/29/2021 11:51:09 AM AY) Action Created(6/29/2021 11:51 AM AY) Called / emailed applicant informing that the permit is ready for issuance.","","AY:2106291151093869","","0","0000000099387F3D","2570616635","","0"
"BP2021-0566","2021-08-03 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(8/3/2021 9:28:41 AM AY) Action Created(8/3/2021 9:28 AM AY) Left a message for Angelica C. informing her that there are corrections to the plans and to stop by to pick up the correction letter..","","AY:2108030928400678","","0","000000009B074F88","2600947590","","0"
"BP2021-0539","2021-09-17 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(9/17/2021 12:11:13 PM AY) Action Created(9/17/2021 12:11 PM AY) Unpaid receipt # E4899) per Accounting the Credit Card was declined.","","AY:2109171211139310","2021-09-17 00:00:00","0","000000009D9C8EB3","2644282084","","0"
"BP2021-0666","2021-09-28 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(9/28/2021 3:41:28 PM AY) Action Created(9/28/2021 3:41 PM AY) Informed owner of the permit status.","","AY:2109280341285966","","0","000000009E27A738","2653398838","","0"
"BP2021-0834","2021-10-01 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(10/1/2021 9:51:43 AM AY) Action Created(10/1/2021 9:51 AM AY) Unpaid receipt # 91928, had included a deferred fire sprinkler fee which was not required.","","AY:2110010951438507","2021-10-01 00:00:00","0","000000009E5DF02E","2656956329","","0"
"BP2021-0833","2021-10-05 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(10/5/2021 2:16:41 PM AY) Action Created(10/5/2021 2:16 PM AY) Sent email to applciant (see attached) informing him that garage permit (BP2018-0602) has expired and must re-instate in order to issue this permit.","","AY:2110050216400728","2021-10-05 00:00:00","0","000000009E8DF345","2660093512","","0"
"BP2021-0566","2021-10-22 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(10/22/2021 11:06:24 AM AY) Action Created(10/22/2021 11:06 AM AY) Left a voicemail message at both phone numbers for the owner regarding permit status: ready to issue & fees due.","","AY:2110221106242272","","0","000000009F6FA069","2674892903","","0"
"BP2021-0907","2021-11-01 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(11/1/2021 9:30:32 AM AY) Action Created(11/1/2021 9:30 AM AY) Need permit application / forms, site plan & fees. Sent email to Defty.","","AY:2111010930315866","2021-11-01 00:00:00","0","000000009FC863BC","2680710060","","0"
"BP2021-0913","2021-11-02 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(11/2/2021 2:57:49 PM AY) Action Created(11/2/2021 2:57 PM AY) No FSA fees per Scott D.","","AY:2111020257498033","","0","000000009FDDD4EB","2682115305","","0"
"BP2016-0526","2021-11-29 00:00:00","EXTENSION REQUEST","ANGELICA YEPEZ","(11/29/2021 10:08:37 AM AY) Action Created(11/29/2021 10:08 AM AY) Per Scott D., this is the last extension; next request to extend will need to be re-instate fees.","","AY:2111291008370473","","0","00000000A0C1BFFA","2697052152","","0"
"BP2021-0919","2021-11-30 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(11/30/2021 9:01:50 AM AY) Action Created(11/30/2021 9:01 AM AY) Emailed applicant the Fire / School District form; the status and fees due.","","AY:2111300901501165","","0","00000000A0CEC05C","2697904218","","0"
"BP2021-0962","2021-12-08 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(12/8/2021 7:56:30 AM AY) Action Created(12/8/2021 7:56 AM AY) Emailed applicant informing that the permit is ready to issue upon obtaining the Fire District approval.","","AY:2112080756306785","","0","00000000A128F616","2703816212","","0"
"BP2021-0712","2022-01-04 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(1/4/2022 1:23:30 PM AY) Action Created(1/4/2022 1:23 PM AY) New address assigned to new single family dwelling; 18298 CR 96B - refer to map page J16B.","","AY:2201040123307968","","0","00000000A2D8D4F5","2732119283","","0"
"BP2021-1060","2022-01-07 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(1/7/2022 9:55:10 AM AY) Action Created(1/7/2022 9:55 AM AY) Unpaid receipt (92194) per accounting request; bank did not authorize payment.  See attached email.","","AY:2201070955102302","2022-01-07 00:00:00","0","00000000A3050198","2735014278","","0"
"BP2021-1061","2022-01-07 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(1/7/2022 9:55:44 AM AY) Action Created(1/7/2022 9:55 AM AY) Unpaid receipt (92195) per accounting request; bank did not authorize payment.  See attached email.","","AY:2201070955442305","","0","00000000A30501B5","2735014323","","0"
"BP2022-0123","2022-02-07 00:00:00","EMAILED APPLICANT","ANGELICA YEPEZ","(2/7/2022 11:56:19 AM AY) Action Created(2/7/2022 11:56 AM AY) Emailed applicant items needed for submittal.  We will also need to email Cannabis Task Force / YSAQMD reviews and upload the email to attachments for reference.","","AY:2202071156194739","","0","00000000A4EFD122","2767180064","","0"
"BP2022-0117","2022-02-22 00:00:00","CALLED APPLICANT","ANGELICA YEPEZ","(2/22/2022 2:35:34 PM AY) Action Created(2/22/2022 2:35 PM AY) Called & emailed applicant informing him of the permit status: Fire District form & PW fees due in order to issue.","","AY:2202220235342289","","0","00000000A5BC56F9","2780583671","","0"
"BP2022-0170","2022-02-22 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(2/22/2022 3:02:39 PM AY) Action Created(2/22/2022 3:02 PM AY) Sent email to applicant. Waiting for applicnat to submit permit application & forms, flood determination (third party appraisal or letter from Assessors).  Also need to ask if we are doing a permit for ea. building or one permit only.","","AY:2202220302392419","","0","00000000A5BC8061","2780594271","","0"
"BP2022-0091","2022-03-08 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(3/8/2022 12:26:11 PM AY) Action Created(3/8/2022 12:26 PM AY) New address assigned to ADU: 24515 County Road 99.","","AY:2203081226100505","","0","00000000A6716524","2792449314","","0"
"BP2019-1002","2022-03-22 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(3/22/2022 1:17:05 PM AY) Action Created(3/22/2022 1:17 PM AY) Prior TCO's expired and need extension; therefore, a permit extension fee ($101) due to extend TCO's.","","AY:2203220117058995","","0","00000000A71ECCAB","2803813545","","0"
"BP2022-0209","2022-03-24 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(3/24/2022 3:05:41 PM AY) Action Created(3/24/2022 3:05 PM AY) Sent email to owner informing him of the permit status and fees due for permits: BP2021-0970, BP2022-0209 / 0210.","","AY:2203240305403468","","0","00000000A7512F27","2807115557","","0"
"BP2022-0210","2022-03-24 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(3/24/2022 3:05:59 PM AY) Action Created(3/24/2022 3:05 PM AY) Sent email to owner informing him of the permit status and fees due for permits: BP2021-0970, BP2022-0209 / 0210.","","AY:2203240305593469","","0","00000000A7512F54","2807115602","","0"
"BP2021-0970","2022-03-24 00:00:00","CORRESPONDENCE","ANGELICA YEPEZ","(3/24/2022 3:06:09 PM AY) Action Created(3/24/2022 3:06 PM AY) Sent email to owner informing him of the permit status and fees due for permits: BP2021-0970, BP2022-0209 / 0210.","","AY:2203240306093470","","0","00000000A7512F71","2807115631","","0"
"BP2022-0297","2022-03-31 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(3/31/2022 1:51:38 PM AY) Action Created(3/31/2022 1:51 PM AY) New address assigned to ADU: 27034 Tierra Linda Pl.","","AY:2203310151380691","","0","00000000A7A8EE21","2812866079","","0"
"BP2022-0190","2022-04-07 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(4/7/2022 11:14:43 AM AY) Action Created(4/7/2022 11:14 AM AY) Initial use for project came in as residential metal shop building but through conversation with EH / Mariah, metal ag shop building may have employees and breakroom.  No floor plan provided and may need plumbing details for bathroom as well. - Check w/ Mariah additional info.(4/7/2022 11:15 AM AY)May need to adjust FSA fees as well.(4/7/2022 11:16 AM AY)Added Scott as the FLS reviewer per his request.","","AY:2204071114436699","","0","00000000A807BEDB","2819069698","","0"
"BP2022-0450","2022-04-28 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(4/28/2022 3:51:54 PM AY) Action Created(4/28/2022 3:51 PM AY) Not sure if Code Case (398) is the house that will be replaced with the new house.  Emailed Dawne K. and copied Chris / Angie in case they are familiar with the site.","","AY:2204280351536446","","0","00000000A95BC44F","2841363533","","0"
"BP2022-0459","2022-05-03 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(5/3/2022 12:01:05 PM AY) Action Created(5/3/2022 12:01 PM AY) Open code case has no attachments and per Dawne, hard copy code case not found.  Please do a pre-measure before demo to verify if this is part of the code case (work shop illegally converted to a residence).  FSA fees may apply, if it was an unpermitted house.","","AY:2205031201049098","","0","00000000A9AAE674","2846548449","","0"
"BP2022-0547","2022-06-03 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(6/3/2022 11:17:12 AM AY) Action Created(6/3/2022 11:17 AM AY) Working with Blake's on this permit, along with other expired permits.  Left a message for owner to call me back so that I can assist in resolving expired permits.","","AY:2206031117124118","","0","00000000AB273AC5","2871474883","","0"
"BP2022-0399","2022-06-09 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(6/9/2022 1:25:18 PM AY) Action Created(6/9/2022 1:25 PM AY) Emailed revised permit to applicant (400 amp service) - need signatures on permit.","","AY:2206090125187234","","0","00000000AB58C58C","2874721674","","0"
"BP2021-0580","2022-07-01 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(7/1/2022 10:02:26 AM AY) Action Created(7/1/2022 10:02 AM AY) No FSA fees per Scott","","AY:2207011002263219","","0","00000000AC7DF225","2893935139","","0"
"BP2022-0510","2022-08-16 00:00:00","FISCAL COMMENTS","ANGELICA YEPEZ","(8/16/2022 3:07:24 PM AY) Action Created(8/16/2022 3:07 PM AY) Placed Refund Request form on Scott's inbox for review / approval.","","AY:2208160307230325","","0","00000000AEC3B044","2932060226","","0"
"BP2022-0679","2022-08-16 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(8/16/2022 4:14:51 PM AY) Action Created(8/16/2022 4:14 PM AY) Emailed applicant to inform that we need site plan.","","AY:2208160414500484","","0","00000000AEC48BD1","2932116431","","0"
"BP2022-0852","2022-09-01 00:00:00","GENERAL NOTE","ANGELICA YEPEZ","(9/1/2022 2:40:17 PM AY) Action Created(9/1/2022 2:40 PM AY) Emailed applicant, informing that he needs business license, floor plan for window locations and size details, and window certificate of compliance form.","","AY:2209010240174579","","0","00000000AFA76096","2946982032","","0"
"BP2022-0794","2022-09-08 00:00:00","ASR-ADDRESS","ANGELICA YEPEZ","(9/8/2022 3:32:38 PM AY) Action Created(9/8/2022 3:32 PM AY) Refer to map page D14a.","","AY:2209080332388861","","0","00000000AFF32DE8","2951949798","","0"
