busiNumber,Status,busiType,busiSubType,busiCompanyName,OWNERSHIP_TYPE,busiTaxID,busiBillTo,busiOwnerName,busiEmployQty,busiSIC,busiWorkComp,busiWorkCompNumber,busiWorkCompISS,busiWorkCompExp,busiNotes,busiCSLBNumber,busiCSLBExp,,busiCSLBNumber,busiCSLBType,busiCSLBExp,busiChemicals,busiFireArms,busiCommercial,busiHomeOcc,busiPrinted,CLASSIFICATION,busiActive,busiLastActive,busiFeesCharged,busiFeesPaid,busiFeesDue,busiEmail,busiSiteNumber,busiSiteStreet,busiSiteUnit,busiSiteCity,busiSiteState,busiSiteZIP,busiSiteAddress,busiSiteCityStZIP,busiSiteGEOType,busiSiteAPN,busimailAddress,busiMailCity,busiMailState,busiMailZIP,busiMailEqualsLocation,BusiPhysAddress,busiPhysCity,busiPhysState,busiPhysZIP,busiTel,busiLastModified,busiCreated,LOC_RECORDID,busiTRAKiTID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12201,Legacy Record,CONTRACTOR,CONSTRUCTION,"POOL IT OUT (Lassiter Excavation, Inc.)",CORPORATION,,POOL IT OUT,VERDELL LASSITER,12,,,,,,,572961,,Yes,572961,C12  C8  C50  A  C21`,10/31/2017,,,,,,,,,138.8,138.8,0,carlos@poolitout.com,6443,SOUTHFRONT ROAD,,Livermore,CA,94551,6443 SOUTHFRONT ROAD,Livermore CA 94551,,,6443 SOUTHFRONT ROAD,Livermore,CA,94551,Yes,6443 SOUTHFRONT ROAD,Livermore,CA,94551,925-449-3112,000000009A05008F,926629924,,JGM:1512140930294612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12207,Legacy Record,CONTRACTOR,COMMERCIAL,CCI,SOLE PROPRIETOR,,CCI,RONNY WALLACE,1,,,,,,,816142,,Yes,816142,B-GENEARAL,12/31/2016,,,,,,,,,138.8,138.8,0,cci7073501924@yahoo.com,13730,ARROW HEAD ROAD,,CLEARLAKE,CA,95422,13730 ARROW HEAD ROAD,CLEARLAKE CA 95422,,,13730 ARROW HEAD ROAD,CLEARLAKE,CA,95422,Yes,13730 ARROW HEAD ROAD,CLEARLAKE,CA,95422,707-350-1924,000000009A0518DA,939724886,,JGM:1601040132253818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12208,Legacy Record,CONTRACTOR,RESIDENTIAL,NRG HOME SOLAR,CORPORATION,,NRG HOME SOLAR,KELCY PEGLER,4,,,,,,,999550,,Yes,999550,C-10   C46,12/31/2016,,,,,,,,,138.8,138.8,0,steven.buckingham@energy.com,2100,HIGHWAY 35,,SEA GIRT,NJ,8750,2100 HIGHWAY 35,SEA GIRT NJ 8750,,,2100 HIGHWAY 35,SEA GIRT,NJ,8750,Yes,2100 HIGHWAY 35,SEA GIRT,NJ,8750,209-446-1381,000000009A051B71,952457314,,JGM:1601061034546731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12220,Legacy Record,CONTRACTOR,CONSTRUCTION,LIGHTNING DEMOLITION & HAULING,SOLE PROPRIETOR,,LIGHTNING  DEMOLITION & HAULING,JOHN MCNAMARA,,,,,,,,940436,,Yes,940436,C21 C61,11/30/2019,,,,,,,,,419.4,419.4,0,john.mcnamara@lightningdemo.com,PO BOX,1522,,Davis,CA,95617,PO BOX 1522,Davis CA 95617,,,PO BOX 1522,Davis,CA,95617,Yes,PO BOX 1522,Davis,CA,95617,530-753-3220,00000000B4BFAE93,970977151,,JGM:1601280335463250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12233,Legacy Record,CONTRACTOR,SOLAR/PV,SUNON SOLAR,PARTNERSHIP,,SUNON SOLAR,RYAN TOLLEY,11,,,,,,,1006917,,Yes,1006917,C46,8/31/2017,,,,,,,,,138.8,138.8,0,ryan@remotepowersystems.com,2642,WHITE LANE,,VICTOR,MT,59875,2642 WHITE LANE,VICTOR MT 59875,,,2642 WHITE LANE,VICTOR,MT,59875,Yes,2642 WHITE LANE,VICTOR,MT,59875,406-200-9022,000000009A080D7C,985369683,,JGM:1602170126217525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12251,Legacy Record,CONTRACTOR,GENERAL,CAB CONSTRUCTION,LIMITED LIABILITY CORPORATION,,CAB CONSTRUCTION,TONY BASHEAR,4,,,,,,,980789,,Yes,980789,"A,B,C10",1/31/2017,,,,,,,,,138.8,138.8,0,cabsolar@yahoo.com,250,DANIELS DR,,AUBURN,CA,95603,250 DANIELS DR,AUBURN CA 95603,,,250 Daniels Dr,AUBURN,CA,95603,Yes,250 DANIELS DR,AUBURN,CA,95603,916-849-0772,000000009A081408,1014069408,,JGM:1603280307005333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12263,Legacy Record,CONTRACTOR,ELECTRICAL,A1 ELECTRICAL INC.,CORPORATION,,A1 ELECTRICAL INC.,KEVIN PETROSYA,7,,,,,,,909430,,Yes,909430,C10,1/31/2018,,,,,,,,,138.8,138.8,0,kevin1electrical@gmail.com,2041,MARCONI AVENUE,,CITRUS HEIGHTS,CA,95821,2041 MARCONI AVENUE,CITRUS HEIGHTS CA 95821,,,2041 MARCONI AVENUE,CITRUS HEIGHTS,CA,95821,Yes,2041 MARCONI AVENUE,CITRUS HEIGHTS,CA,95821,916-482-3400,000000009A081D54,1025269204,,JGM:1604120132475610,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12261,Legacy Record,CONTRACTOR,ROOFING,CURTIS PACIFIC ROOFING,SOLE PROPRIETOR,,CURTIS PACIFIC ROOFING,KIRK SCANNELL,4,,,,,,,989634,,Yes,989634,C39-ROOFING,1/31/2018,,,,,,,,,277.6,277.6,0,kriseetwiggs@curtispacific.com,10398,ROCKINGHAM DRIVE,#4,"Sacramento,",CA,95827,10398 ROCKINGHAM DRIVE #4,"Sacramento, CA 95827",,,10398 ROCKINGHAM DRIVE #4,"Sacramento,",CA,95827,Yes,10398 ROCKINGHAM DRIVE #4,"Sacramento,",CA,95827,-8202,000000009A081D02,1025084275,,JGM:1604120957075186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12262,Legacy Record,CONTRACTOR,CONSTRUCTION,G&G  BUILDERS,CORPORATION,,G&G BUILDERS,GERARD CALLAHAN,8,,,,,,,750759,,Yes,750759,A & B,6/30/2016,,,,,,,,,138.8,138.8,0,gcallahan@ggbuildersinc.com,4542,CONTRACTORS PLACE,,Livermore,CA,94551,4542 CONTRACTORS PLACE,Livermore CA 94551,,,4542 CONTRACTORS PLACE,Livermore,CA,94551,Yes,4542 CONTRACTORS PLACE,Livermore,CA,94551,925-846-9023,000000004C6458C6,1025152576,,JGM:1604121059555322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12267,Legacy Record,CONTRACTOR,CONSTRUCTION,"ANDERSON DRAGLINE, INC.",CORPORATION,,"ANDERSON DRAGLINE, INC.",KIETH  ANDERSON,15,,,,,,,748514,,Yes,748514,A,4/30/2018,,,,,,,,,277.6,277.6,0,markj@andersondragline.com,P.O.,BOX 1666,,WOODLAND,CA,95695,P.O. BOX 1666,WOODLAND CA 95695,,,P.O. BOX 1666,WOODLAND,CA,95695,Yes,P.O. BOX 1666,WOODLAND,CA,95695,530-695-1352,000000009A081E7B,1032695192,,JGM:1604210237241982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12268,Legacy Record,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,Yes,,,,,,0000000047FF4273,1032700177,,JGM:1604210244082046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12269,Legacy Record,CONTRACTOR,SOLAR/PV,SUNCREST SOLAR ELECTRIC,CORPORATION,,SUNCREST SOLAR ELECTRIC,JOHN CORLISS,10,,,,,,,987868,,Yes,987868,C-10,10/31/2017,,,,,,,,,138.8,138.8,0,hubpermiting@suncrestsolar.com,420E,SOUTH TEMPLE # 280,,Salt Lake City,UT,84111,420E SOUTH TEMPLE # 280,Salt Lake City UT 84111,,,420E SOUTH TEMPLE # 280,Salt Lake City,UT,84111,Yes,420E SOUTH TEMPLE # 280,Salt Lake City,UT,84111,800-376-4113,000000004C6471A4,1036286204,,JGM:1604260247464724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12271,Legacy Record,CONTRACTOR,SOLAR/PV,CALIFORNIA SOLAR SYSTEMS,CORPORATION,,CALIFORNIA SOLAR SYSTEM,OZ WARDAK,4,,,,,,,920108,,Yes,920108,B      C46,7/31/2016,,,,,,,,,138.8,138.8,0,ajourgensen@855casolar.com,2780,NORTH MAIMI AVE,,FRESNO,CA,93727,2780 NORTH MAIMI AVE,FRESNO CA 93727,,,2780 NORTH MAIMI AVE,FRESNO,CA,93727,Yes,2780 NORTH MAIMI AVE,FRESNO,CA,93727,559-742-4884,000000009A081F2A,1037904623,,JGM:1604281111556197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12280,Legacy Record,CONTRACTOR,CONSTRUCTION,SOUTH COAST INC.,CORPORATION,,SOUTH COAST INC.,DANIL DYACHKOV,4,,,,,,,981179,,Yes,981179,C-10,2/28/2017,,,,,,,,,138.8,138.8,0,breanna@socalelectrics.com,14553,DELANO ST UNIT 316,,VAN NUYS,CA,91411,14553 DELANO ST UNIT 316,VAN NUYS CA 91411,,,14553 DELANO ST UNIT 316,VAN NUYS,CA,91411,Yes,14553 DELANO ST UNIT 316,VAN NUYS,CA,91411,925-787-3352,000000009A08221C,1053759763,,JGM:1605190113338767,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12282,Legacy Record,CONTRACTOR,ROOFING,BLACK DIAMOND ROOFING INC,CORPORATION,,BLACK DIAMOND ROOFING,ESAUL DIAZ,15,,,,,,,996268,,Yes,996268,C39,1/31/2016,,,,,,,,,492.3,492.3,0,Tina@blackdiamondroofs.com,837,ARNOLD DRIVE BAY 10,,Martinez,CA,94553,837 ARNOLD DRIVE BAY 10,Martinez CA 94553,,,837 ARNOLD DRIVE BAY 10,MARTINEZ,CA,94553,Yes,837 ARNOLD DRIVE BAY 10,FAIRFIELD,CA,94553,925-978-9150,00000000A6E14667,1057634092,,JGM:1605241120241282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12287,Legacy Record,CONTRACTOR,CONSTRUCTION,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,Yes,,,,,,0000000047FFBDAA,1064053068,,JGM:1606010146035424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12290,Legacy Record,CONTRACTOR,CONSTRUCTION,CLEANRITE-INCORPORATED,CORPORATION,,CRBR,DANNY JAMES ANDREASEN,100,,,,,,,689238,,Yes,689238,B  C15,5/31/2018,,,,,,,,,208.7,208.7,0,ap@crbr.com,350,BRIDGE STREET,,Yuba City,CA,95991,350 BRIDGE STREET,Yuba City CA 95991,,,350 BRIDGE STREET,Yuba City,CA,95991,Yes,350 BRIDGE STREET,Yuba City,CA,95991,530-891-0333,000000009A082D76,1066810812,,JGM:1606030308057656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12291,Legacy Record,CONTRACTOR,ELECTRICAL,AHA ELECTRIC,CORPORATION,,AHA ELECTRIC,MERWYN ALSBURY,2,,,,,,,930988,,Yes,930988,C10,5/31/2018,,,,,,,,,281.6,281.6,0,merwyn@ahaelectric.com,1206,VALLEY OAK DRIVE,,Winters,CA,95694,1206 VALLEY OAK DRIVE,Winters CA 95694,,,1206 VALLEY OAK DRIVE,Winters,CA,95694,Yes,1206 VALLEY OAK DRIVE,Winters,CA,95694,530-776-5242,000000009A082DE0,1068947838,,JGM:1606070129421209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12292,Legacy Record,CONTRACTOR,ROOFING,LUCERO'S ROOFING INC.,CORPORATION,,LUCERO'S ROOFING INC.,ERIC LUCERO,4,,,,,,,776911,,Yes,776911,c39,7/31/2017,,,,,,,,,138.8,138.8,0,lucroof@sbcglobal.net,PO BOX,6057,,"Folsom,",CA,95763,PO BOX 6057,"Folsom, CA 95763",,,PO BOX 6057,"Folsom,",CA,95763,Yes,PO BOX 6057,"Folsom,",CA,95763,916-983-8801,000000009A082E43,1068999173,,JGM:1606070227221410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12304,Legacy Record,CONTRACTOR,ELECTRICAL,JCM ELECTRIC,SOLE PROPRIETOR,,JCM ELECTRIC,JULIO MELARA,2,,,,,,,937604,,Yes,937604,C-10,9/30/2017,,,,,,,,,277.6,277.6,0,julio@jcm-electric.com,PO BOX,981341,,West Sacramento,CA,95798,PO BOX 981341,West Sacramento CA 95798,,,PO BOX 981341,West Sacramento,CA,95798,Yes,PO BOX 981341,West Sacramento,CA,95798,530-216-7736,000000009AAF2B51,1090803441,,JGM:1607050233247426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12306,Legacy Record,CONTRACTOR,CONSTRUCTION,"DSM CONCRETE, INC.",CORPORATION,,"DSM CONCRETE, INC.",MELANIE MILTANO,5,,,,,,,920160,,Yes,920160,C-8,6/30/2016,,,,,,,,,138.8,138.8,0,dsmscs@yahoo.com,11098,WOLF ROAD,,Grass Valley,CA,95949,11098 WOLF ROAD,Grass Valley CA 95949,,,11098 WOLF ROAD,Grass Valley,CA,95949,Yes,11098 WOLF ROAD,Grass Valley,CA,95949,530-268-3230,000000009AAF2EB1,1091749961,,JGM:1607061044298158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12309,Legacy Record,CONTRACTOR,RESIDENTIAL,ELEGANT HOME IMPROVEMENT,SOLE PROPRIETOR,,ELEGANT HOME IMPROVEMENT,VLADIMIR PETLINSKY,1,,,,,,,904823,,Yes,904823,B,10/31/2017,,,,,,,,,277.6,277.6,0,ehicontractor@gmail.com,3874,BLUEBIRD LANE,,Loomis,CA,95650,3874 BLUEBIRD LANE,Loomis CA 95650,,,3874 BLUEBIRD LANE,Loomis,CA,95650,Yes,3874 BLUEBIRD LANE,Loomis,CA,95650,916-677-9394,000000009AAF2F5E,1094746770,,JGM:1607081030579692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12312,Legacy Record,CONTRACTOR,CONSTRUCTION,THOMAS CONSTRUCTION,SOLE PROPRIETOR,,THOMAS CONSTUCTION,GLEN THOMAS,1,,,,,,,587458,,Yes,587458,B,1/31/2018,,,,,,,,,138.8,138.8,0,glen@glenthomasbuilt.com,3441,sugarlof mountain road,,Loomis,CA,95650,3441 sugarlof mountain road,Loomis CA 95650,,,3441 sugarlof mountain road,Loomis,CA,95650,Yes,3441 sugarlof mountain road,Loomis,CA,95650,530-979-0348,000000009AAF2FC0,1096180236,,JGM:1607110315591148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12313,Legacy Record,CONTRACTOR,SOLAR/PV,SOLAR ENERGY DESIGNS,CORPORATION,,SOLAR ENERGY DESIGNS,MICHAEL KAHOLOKULA,3,,,,,,,984854,,Yes,984854,C-46,6/13/2017,,,,,,,,,277.6,277.6,0,chuck.edwards@solarenergydesigns.net,941,WASHINGTON BLVD,,Roseville,CA,95678,941 WASHINGTON BLVD,Roseville CA 95678,,,941 WASHINGTON BLVD,Roseville,CA,95678,Yes,941 WASHINGTON BLVD,Roseville,CA,95678,916-300-8479,000000009AAF31A7,1099602315,,JGM:1607140318264320,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12315,Legacy Record,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,Yes,,,,,,00000000487C6E81,1102438440,,JGM:1607190224507294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12317,Legacy Record,CONTRACTOR,PLUMBING,TRI-COUNTY PLUMBING AND DRAIN CLEANING,SOLE PROPRIETOR,,TRI-COUNTY PLUMBING & DRAIN CLEANING,MARK ALLEN SCHRIVER,4,,,,,,,805550,,Yes,805550,C-36,3/31/2018,,,,,,,,,0,,0,tricountyplumbingsacramento@gmail.com,825,M ST,,"RIO LINDA,",CA,95673,825 M ST,"RIO LINDA, CA 95673",,,825 M ST,"RIO LINDA,",CA,95673,Yes,825 M ST,"RIO LINDA,",CA,95673,916-348-9983,000000009AAF3238,1104299676,,JGM:1607211004479146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12321,Legacy Record,CONTRACTOR,SIGNS,ALPHA ARCHITECTURAL SIGNS & LIGHTING,CORPORATION,,ALPHA ARCHITECTURAL SIGNS & LIGHTING,JASON LANE,4,,,,,,,960508,,Yes,960508,C-45,3/31/2021,,,,,,,,,280.6,280.6,0,mike@alisignservices.com,8565,23 AVENUE,,Sacramento,CA,95826,8565 23 AVENUE,Sacramento CA 95826,,,8565 23 AVENUE,Sacramento,CA,95826,Yes,8565 23 AVENUE,Sacramento,CA,95826,916-379-0025,000000009AAF3369,1107184711,,JGM:1607261040091630,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12337,Legacy Record,CONTRACTOR,ELECTRICAL,A1 SOLAR POWER,CORPORATION,,A1 SOALR POWER,PATRICK DETCHMAN,4,,,,,,,493623,,Yes,493623,C-10,9/30/2016,,,,,,,,,138.8,138.8,0,al.d@a1solarpower.net,15025,OXNARD ST #200,,VAN NUYS,CA,91411,15025 OXNARD ST #200,VAN NUYS CA 91411,,,15025 OXNARD ST #200,VAN NUYS,CA,91411,Yes,15025 OXNARD ST #200,VAN NUYS,CA,91411,855-410-4700,000000009AAF3920,1117617029,,JGM:1608080134599004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12353,Legacy Record,CONTRACTOR,ELECTRICAL,BOLDEN ELECTRIC,SOLE PROPRIETOR,,BOLDEN ELECTRIC,CAMERON BOLDEN,1,,,,,,,1007818,,Yes,1007818,C-10,9/30/2021,,,,,,,,,277.6,277.6,0,boldenelectric@gmail.com,640,GRIDER DRIVE,,Roseville,CA,95678,640 GRIDER DRIVE,Roseville CA 95678,,,640 GRIDER DRIVE,Roseville,CA,95678,Yes,640 GRIDER DRIVE,Roseville,CA,95678,916-547-3931,00000000A6E14A61,1138229402,,JGM:1608260336375407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12363,Legacy Record,CONTRACTOR,ROOFING,COOL ROOFING SYSTEMS,CORPORATION,,COOL ROOFING SYSTEMS,JIAME BILLMAN,5,,,,,,,769607,,Yes,769607,C-39  B,1/31/2017,,,,,,,,,138.8,138.8,0,misty@cool-roofing.com,1286,DUPONT COURT,,Manteca,CA,95336,1286 DUPONT COURT,Manteca CA 95336,,,1286 DUPONT COURT,Manteca,CA,95336,Yes,1286 DUPONT COURT,Manteca,CA,95336,209-825-0818,000000009AAF3E54,1149729366,,JGM:1609090249103243,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12371,Legacy Record,CONTRACTOR,CONSTRUCTION,SEL CONSTRUCTION,CORPORATION,,SEL CONSTRUCTION,JAYSON LEHMANN,4,,,,,,,995376,,Yes,995376,B      C-10,8/31/2018,,,,,,,,,138.8,138.8,0,jayson@selconstruction.com,5523,SPARAS STREET,,Loomis,CA,95650,5523 SPARAS STREET,Loomis CA 95650,,,5523 SPARAS STREET,Loomis,CA,95650,Yes,5523 SPARAS STREET,Loomis,CA,95650,916-223-8415,000000009AAF402C,1157089000,,JGM:1609201059379039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12377,Legacy Record,CONTRACTOR,ROOFING,PEAK ROOFING,SOLE PROPRIETOR,,PEAK ROOFING,PETE KOTKO,1,,,,,,,790988,,Yes,790988,C39-ROOFING,2/28/2017,,,,,,,,,138.8,138.8,0,norcalroofer@gmail.com,6012,CHERRY CREEK CT,,"Citrus Heights,",CA,95621,6012 CHERRY CREEK CT,"Citrus Heights, CA 95621",,,6012 CHERRY CREEK CT,"Citrus Heights,",CA,95621,Yes,6012 CHERRY CREEK CT,"Citrus Heights,",CA,95621,916-521-0505,000000009ACE5D54,1161139618,,JGM:1609230138443107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12389,Legacy Record,CONTRACTOR,ROOFING,AGUILAR ROOFING,SOLE PROPRIETOR,,AGUILAR ROOFING,UBALDLA AGUILAR,,,,,,,,1005141,,Yes,1005141,C-39,7/31/2017,,,,,,,,,208.7,138.8,69.9,ubaldla1996@gmail.com,2388,OCEANIC COURT,,Fairfield,CA,94533,2388 OCEANIC COURT,Fairfield CA 94533,,,2388 OCEANIC COURT,Fairfield,CA,94533,Yes,2388 OCEANIC COURT,Fairfield,CA,94533,707-816-1924,0000000050A5CB0B,1172263960,,JGM:1610071124362171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12410,Legacy Record,CONTRACTOR,GENERAL,PATTERSON HEATING & AIR,SOLE PROPRIETOR,,PATTERSON HEATING & AIR,CHRIS PATTERSON,1,,,,,,,957999,,Yes,957999,C-20,2/28/2017,,,,,,,,,211.7,211.7,0,cpattersonhvac@yahoo.com,10069,WATERFIELD DRIVE,,ELK GROVE,,95757,10069 WATERFIELD DRIVE,ELK GROVE 95757,,,10069 WATERFIELD DRIVE,ELK GROVE,,95757,Yes,10069 WATERFIELD DRIVE,ELK GROVE,,95757,916-275-3500,000000009ACE61BC,1193112419,,JGM:1611040128124387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12419,Legacy Record,CONTRACTOR,SOLAR/PV,"NEXTSTEP ENERGY, INC.",CORPORATION,,"NEXTSTEP ENERGY, INC.",TED NOVAK,,,,,,,,996431,,Yes,996431,C-10,9/30/2018,,,,,,,,,138.8,138.8,0,ted@nextstep-energy.com,658,COMMERCE DR SUITE B,,Roseville,CA,95678,658 COMMERCE DR SUITE B,Roseville CA 95678,,,658 COMMERCE DR SUITE B,Roseville,CA,95678,Yes,658 COMMERCE DR SUITE B,Roseville,CA,95678,916-536-0577,000000009ACE6330,1202497481,,JGM:1611181159523893,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12425,Legacy Record,CONTRACTOR,CONSTRUCTION,FITZPERFECT,CORPORATION,,FITZPERFECT,BRADD FITZGERALD,3,,,,,,,985064,,Yes,985064,C-17,7/37/2017,,,,,,,,,138.8,138.8,0,fitzperfectwindows@sbcglobal.net,5139,QUINN,,VACAVILLE,CA,95688,5139 QUINN,VACAVILLE CA 95688,,,5139 QUINN,VACAVILLE,,95688,Yes,5139 QUINN,VACAVILLE,,95688,707-452-8844,000000009ACE641B,1213517044,,JGM:1612050938094603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12428,Legacy Record,CONTRACTOR,SOLAR/PV,NORTH COAST SOLAR,CORPORATION,,NORTH COAST SOLAR,BRIAN HINES,,,,,,,,649300,,Yes,649300,B C-46,7/31/2019,,,,,,,,,138.8,138.8,0,brian@ncsr.com,1468,FUNSTON DRIVE,,"Santa Rosa,",CA,95407,1468 FUNSTON DRIVE,"Santa Rosa, CA 95407",,,1468 FUNSTON DRIVE,"Santa Rosa,",CA,95407,Yes,1468 FUNSTON DRIVE,"Santa Rosa,",CA,95407,707-575-3999,000000009ACE6461,1218627583,,JGM:1612090333372588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12430,Legacy Record,CONTRACTOR,HVAC,ALL AIR,SOLE PROPRIETOR,,ALL AIR,ABDUL SALAAM,1,,,,,,,945617,,Yes,945617,C-20,4/30/2018,,,,,,,,,138.8,138.8,0,asam916@hotmail.com,8456,SAINT ARVANT,,"Elk Grove,",CA,95624,8456 SAINT ARVANT,"Elk Grove, CA 95624",,,8456 SAINT ARVANT,"Elk Grove,",CA,95624,Yes,8456 SAINT ARVANT,"Elk Grove,",CA,95624,916-996-5419,000000009ACEE9D0,1222864136,,JGM:1612151036426998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12433,Legacy Record,CONTRACTOR,SOLAR/PV,VISTA SOLAR INC.,CORPORATION,,VISTA SOLAR INC.,JAYMES CALLINAN,,,,,,,,913360,,Yes,913360,B    C-46,4/30/2018,,,,,,,,,211.7,211.7,0,accounting@vista-solar.com,2985,KIFER ROAD,,Santa Clara,CA,95051,2985 KIFER ROAD,Santa Clara CA 95051,,,2985 KIFER ROAD,Santa Clara,CA,95051,Yes,2985 KIFER ROAD,Santa Clara,CA,95051,408-844-7149,000000009ACEEA5B,1223524922,,JGM:1612160722258451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12442,Legacy Record,CONTRACTOR,HVAC,ECOLOGY AIR INNOVATIONS,CORPORATION,,ECOLOGY AIR INNOVATION,MARK GILMORE,,,,,,,,997203,,NO,99703,,9/30/2018,,,,,,,,,138.8,138.8,0,spencer@amhenergy.com,7945,LINDA BLVD,,"DIXON,",CA,95626,7945 LINDA BLVD,"DIXON, CA 95626",,,7945 LINDA BLVD,"DIXON,",CA,95626,Yes,7945 LINDA BLVD,"DIXON,",CA,95626,916-640-9464,000000009ACEECF0,1239913731,,JGM:1701131055351286,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12443,Legacy Record,CONTRACTOR,ROOFING,BRETLYN INC,CORPORATION,,BRETLYN INC,BRETT,,,,,,,,645537,,Yes,645537,C-39,11/30/2017,,,,,,,,,211.7,211.7,0,lynn@baeroofing.com,8707,LUPIN LANE,,Granite Bay,CA,95746,8707 LUPIN LANE,Granite Bay CA 95746,,,8707 LUPIN LANE,Granite Bay,CA,95746,Yes,8707 LUPIN LANE,Granite Bay,CA,95746,916-772-1792,000000009ACEED3D,1239925990,,JGM:1701131119001447,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12444,Legacy Record,CONTRACTOR,SOLAR/PV,GREG GAYLER CONSTRUCTION,SOLE PROPRIETOR,,GREG GAYLER CONSTRUCTION,GREG GAYLER,,,,,,,,414805,,Yes,414805,B-GENERAL     C-2 INSULA,11/30/2017,,,,,,,,,138.8,138.8,0,greg@greggaylerconstruction.com,4269,HEYER AVENUE,,"Castro Valley,",CA,94546,4269 HEYER AVENUE,"Castro Valley, CA 94546",,,4269 HEYER AVENUE,"Castro Valley,",CA,94546,Yes,4269 HEYER AVENUE,"Castro Valley,",CA,94546,510-755-4967,000000009ACEED85,1242076863,,JGM:1701180232284935,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12459,Legacy Record,CONTRACTOR,RESIDENTIAL,DAVD R. MILLER CONSTRUCTION INC.,SOLE PROPRIETOR,,DAVID R. MILLER CONSTRUCTION INC.,DAVID MILLER,,,,,,,,770657,,Yes,770657,B-1,5/31/2017,,,,,,,,,138.8,138.8,0,davidrmiller@sbcgobal.net,921,LUCENA COURT,,El Macero,CA,95618,921 LUCENA COURT,El Macero CA 95618,,,921 LUCENA COURT,El Macero,CA,95618,Yes,921 LUCENA COURT,El Macero,CA,95618,916-224-1844,000000009B0786CE,1255078432,,JGM:1702030232009606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12472,Legacy Record,CONTRACTOR,ELECTRICAL,STORM CONSTRUCTION INC.,CORPORATION,,STORM CONSTRUCTION INC.,CHRIS STORM,20,,,,,,,792490,,Yes,792490,,3/31/2019,,,,,,,,,211.7,211.7,0,christorm@stormconst.net,23742,BUNDY CANYON ROAD,,WILDOMAR,CA,92595,23742 BUNDY CANYON ROAD,WILDOMAR CA 92595,,,23742 BUNDY CANYON ROAD,WILDOMAR,CA,92595,Yes,23742 BUNDY CANYON ROAD,WILDOMAR,CA,92595,951-245-8693,000000009B078DF0,1284693425,,JGM:1703130917073210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
